respid,sample,comp,int_date,lang,state,density,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3f_1_other,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,web1j,web1k,sns2a,sns2b,sns2c,sns2d,sns2e,paya,payb,payc,prob,coviddisa,coviddisb,coviddisc,coviddisd,coviddise,device1b,device1c,device1d,books1,books2a,books2b,books2c,gender,age,marital,par,educ2,emplnw,disa,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,income,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
105793,2,1,2/6/2021,1,6,5,U,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2, , , , ,4,2,2, ,4,2,1,1,1,1,2,2,1,5,1,1,2,1,33,1,2,6,2,2,2,1, , , ,1, ,6,4,2,2,2, , ,2,.6282187,.4813128
105829,2,1,1/27/2021,1,11,5,U,2,1,1,2,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2, , ,2, ,3,2,2, ,3,3,2,8,8,8,1,2,2,2,1,2,2,1,66,3,2,5,3,2,2,1, , , ,1, ,3,3,1,1, , , ,2,.631075,.7557429
105858,2,1,2/2/2021,1,1,3,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,1,1,1,2, , ,5, ,3,2,2,2,2,3,3,3,3,2,1,1,1,12,1,2,2,1,54,1,2,7,1,2,2,1, , , ,1, ,9,3,1,3,1, , ,2,.7355197,.624599
105952,2,1,1/26/2021,1,51,1,R,2,1,1,1,3,1,2, , , ,1,2,2,2,1,2,2,1,I use hotspot,3,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,4, ,1,2, ,2,4,2,3,2,1,1,2,1,1,14,1,2,2,1,24,6,2,5,4,2,2,1, , , ,1, ,6,3,8,3,3, , ,1,1.3005029,.9809714
106218,2,1,1/28/2021,1,4,1,R,2,1,1,1,4,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,8,2,2,2,2,2, , ,5, ,3,2,2,2,2,3,3,2,2,2,2,1,1,40,1,1,1,1,62,1,2,4,3,1,2,1,5, , ,4, ,6,2, ,2,2, , ,1,.7757197,.8628442
106320,2,1,2/7/2021,1,51,1, ,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,2,3,3,3,3,3,2,1,2,0, , , ,1,39,1,1,3,1,2,2,1, , , ,1, ,6,1, ,4,2, , ,1,1.3883381,1.3134552
106501,2,1,2/6/2021,1,42,5, ,2,2,1,1,4,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2, ,2,1, ,1,2,1, ,3,2,2,1,1,2,1,1,2,2,1,2,1,2,57,1,2,4,2,2,2,2, , , ,2, ,10,2, ,2,2, , ,2,1.5497394,1.2786574
106507,2,1,1/26/2021,1,37,3,S,2,2,1,1,2,1,2, , , ,1,1,1,2,2,2,1,1,atnt is not avaible for her where she lives,6,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2, , ,1, ,4,2, , ,1,1,1,1,1,1,2,2,2,0, , , ,2,56,6,2,3,4,1,2,1, , , ,1, ,1,8,1,1, , , ,2,2.3660378,2.1789272
106546,2,1,2/4/2021,1,13,4,U,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , ,3,2,2, ,4,1,1,1,1,1,1,2,1,0, , , ,1,47,6,2,4,1,2,2,2, , , ,2, ,9,2, ,1, , , ,2,1.361859,1.0995471
106630,2,1,2/1/2021,1,20,4,S,2,2,1,1,4,2,1,8, , ,2,2,1,1, ,2,2,1,worry about security reasons,6,1, , , , ,2,2,1,2,2,2,1,2,2,2,2, , ,3, , ,1, ,2,3,3,3,8,8,3,2,2,2,15,1,1,2,2,62,1,2,4,3,2,2,1, , , ,1, ,10,4,8,3,3, , ,2,1.4335029,1.339316
106705,2,1,2/6/2021,1,36,5,S,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,1,2,2,2,2,2, ,3,1, ,3,2,2,2,3,1,1,1,1,2,1,1,2,50,1,1,1,2,73,1,2,8,3,2,2,1, , , ,1, ,9,2, ,2,2, , ,1,.4779112,.8967786
106816,2,1,2/2/2021,1,47,1,R,2,2,1,2,3,1,1,2, , ,2, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,2, ,5,2,2,2,3,3,3,3,1,2,1,1,2,25,1,2,2,2,67,1,2,6,3,2,2,1, , , ,1, ,7,1, ,2,2, , ,1,.4063653,.7425937
106867,2,1,2/1/2021,1,26,5,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2, ,2,1, ,3,2,2, ,3,1,2,1,1,1,2,1,2,0, , , ,2,55,5,2,3,1,2,2,2, , , ,2, ,3,2, ,2,2, , ,2,1.1286659,.91653
106914,2,1,1/26/2021,1,36,3,S,2,2,1,1,3,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,1,1,2,2,1, ,3,2, ,3,2,2,2,3,2,2,1,1,2,2,1,2,5,1,2,1,2,56,2,2,8,4,2,2,1, , , ,1, ,6,3,1,2,2, , ,2,.7490964,.7445905
106958,2,1,1/30/2021,1,22,1,R,2,1,1,1,3,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,2,2,2,2,2, ,2,1,5,3,2,2,2,1,1,1,1,1,1,1,1,2,0, , , ,1,48,3,1,8,5,2,2,1, , , ,1, ,9,1, ,3,1, , ,2,.6545816,.6110888
107009,2,1,1/28/2021,1,53,2,S,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,1,2,2,2, , , , ,4,2,2,2,4,2,3,2,3,2,1,1,2,0, , , ,1,69,1,2,6,3,2,2,1, , , ,1, ,8,1, ,2,2, , ,2,.3110796,.3946651
107267,2,1,2/3/2021,1,9,4,S,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,1,3,2,2, ,4,1,1,1,1,1,1,1,1,3,1,2,2,2,30,1,1,8,1,2,2,1, , , ,1, ,9,2, ,3,2, , ,2,1.4365522,1.2868628
107358,2,1,2/1/2021,1,46,1,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,1,1,2,1,2,1,2,2,2,2, ,5,2, ,3,2,2, ,3,1,3,2,8,2,1,1,2,1,2,1,2,2,64,1,2,6,1,2,2,1, , , ,1, ,7,3,8,2,2, , ,2,.6824879,.6572716
107375,2,1,2/2/2021,1,45,3,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,2,2,1,2,1,1,2,1,2,2,2, , ,3, ,2,2,2, ,4,1,2,1,1,1,2,1,2,0, , , ,2,58,3,2,6,4,2,2,1, , , ,1, ,4,4,2,1, , , ,2,.7126488,.6669696
107538,2,1,2/5/2021,1,40,1,R,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,3,2,2,2,1,3,3,2,1,3,1,1,2,0, , , ,2,71,1,1,8,1,2,2,1, , , ,1, ,7,1, ,4,2, , ,1,.4063653,.7425937
107821,2,1,1/28/2021,1,13,4,S,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,8,2,8, , , , ,1,2,2,2,4,2,2,1,1,1,2,1,2,2,1,2,2,2,49,3,2,3,1,2,2,1, , , ,1, ,3,1, ,3,3, , ,1,2.4596811,2.2723671
107893,2,1,2/2/2021,1,31,4,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,4,3,2,3,2,1,1, ,3,2,2,2,1,2,1,1,1,10,1,2,2,1,44,3,1,4,1,2,2,1,2, , ,4, ,3,2, ,2,1, , ,2,1.6302717,1.3727019
107985,2,1,1/26/2021,1,42,3, ,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,2,1,2,1,1,1,1,2,1,1,2,1,2,2,1,5,1,1, ,2,2,2, ,3,1,1,1,1,1,1,1,2,98,1,2,2,1,49,1,1,4,4,2,2,1, , , ,1, ,7,1, ,6,4, , ,1,1.0295522,.855955
108042,2,1,1/28/2021,1,17,2,U,2,1,2,2, ,2,2, , , ,2,2,2,2, ,2,2,2, , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,2, ,3,3,8,2,3,2,2,2,98,1,2,2,1,86,1,2,4,1,2,2,1, , , ,1, ,10,1, ,2,2, , ,1,.5530343,.6933327
108062,2,1,2/4/2021,1,22,4,U,2,1,1,1,2,2,2, , , ,1,2,1,1,1,1,2,2, ,3,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,2,3,1,1,1,1,1,2,2,2,3,2,2,1,1,63,6,2,5,2,2,2,2, , , ,2, ,2,2, ,2,2, , ,2,.8620414,.8046173
108078,2,1,2/4/2021,1,46,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,3,4,1,1,3,2,2, ,3,2,2,1,1,2,2,1,1,6,1,2,1,1,20,6,2,4,2,2,2,1, , , ,1, ,6,1, ,4,4, , ,2,1.3153267,.9880798
108246,2,1,2/1/2021,1,5,2,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,1,2,2,2,2,2, ,1,1,5,1,2,2,2,3,3,1,1,1,1,1,1,1,0, , , ,1,32,6,2,5,1,2,1,7, , , ,5,1,2,4,9,5,3, , ,2,1.7426066,1.3858398
108327,2,1,2/6/2021,1,24,4,S,2,1,1,1,2,1,2, , , ,1,2,1,1,1,2,2,2, ,3,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2, , ,1, , ,2, , ,3,2,1,1,1,2,1,2,2,12,1,2,2,1,79,3,2,8,2,2,2,1, , , ,1, ,4,2, ,1, , , ,2,.388097,.4969179
108336,2,1,2/6/2021,2,12,4,S,2,1,1,1,1,1,2, , , ,2,2,1,2, ,1,1,2, ,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2, , ,5, ,1,1, , ,4,3,2,3,1,3,2,2,2,0, , , ,1,39,6,2,1,1,2,1,4, , , ,5,3,3,3,1,4,4, , ,2,2.4596811,2.2723671
108440,2,1,2/2/2021,1,28,1,R,2,2,1,1,1,1,2, , , ,1,1,1,2,2,1,2,2, ,4,1, , , , ,2,1,2,2,1,2,1,2,2,2,2, ,3, , ,1,2, ,2,4,1,1,1,1,1,2,1,1,0, , , ,2,30,1,1,4,1,2,2,1, , , ,1, ,7,1, ,4,2, , ,2,2.4596811,2.2521716
108460,2,1,1/28/2021,1,8,5,U,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2, , , , ,2,2,2, ,4,1,2,1,1,1,1,1,2,5,1,2,2,1,73,1,2,8,3,2,2,1, , , ,1, ,7,2, ,2,2, , ,2,.3309646,.4041579
108610,2,1,1/29/2021,1,48,3,U,2,2,1,1,1,1,2, , , ,1,2,2,2,1,1,2,2, ,4,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,3,1,1,2, , ,4,1,1,1,1,1,2,1,1,10,1,2,2,2,18,6,2,3,4,2,2,1, , , ,1, ,9,2, ,5,4, , ,2,2.2199974,1.770625
108704,2,1,1/28/2021,1,21,4,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,4, , ,4,2,2, ,4,1,2,1,1,1,1,1,1,15,1,1,2,1,45,1,1,6,1,2,2,1, , , ,1, ,9,2, ,4,2, , ,2,.8205259,.7580798
108706,2,1,2/4/2021,1,39,3,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,2,2,1,2,2,2,2, , ,1, , ,2,1,1,4,1,2,1,1,2,1,1,1,5,2,2,1,1,60,1,2,3,1,2,2,1, , , ,1, ,6,1, ,2,2, , ,1,1.136738,1.0555608
108820,2,1,2/2/2021,1,4,1,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,2,2,1,2,2, , ,1, ,1,1,1,2,3,3,2,2,2,1,1,1,2,12,1,1,1,1,53,3,2,4,1,1,2,1, , , ,1, ,1,4,2,1, , , ,2,.7827613,.6996759
108826,2,1,1/29/2021,1,4,3,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,2,1,1,2,1,3,3,1, ,1,2,2,2,3,2,2,1,1,2,1,1,1,0, , , ,1,53,3,1,6,1,2,2,1, , , ,1, ,7,2, ,4,1, , ,1,.4798958,.5825802
109243,2,1,2/6/2021,1,42,4,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,2,2,1,2,2,1,1,2,2,2, , , ,1,2,2,2,3,1,2,2,1,1,2,1,1,4,2,1,1,1,60,1,2,4,1,2,2,2, , , ,2, ,8,2, ,2,2, , ,2,1.0030555,.8819075
109254,2,1,2/1/2021,1,26,2,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1, ,2,1,1,1,1,1,1,1,1,5,1,2,1,1,26,2,2,8,1,2,2,1, , , ,1, ,4,2, ,2,2, , ,2,.6171213,.4734135
109559,2,1,2/6/2021,1,53,2,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,2,2,2,2,2, , ,2, ,3,1,1,1,2,1,1,1,1,1,2,1,2,6,1,1,2,1,61,1,2,3,1,2,2,1, , , ,1, ,8,3,2,2,2, , ,2,.9387512,.9422357
109641,2,1,2/2/2021,1,42,2,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1, ,3, ,3,2,2, ,1,1,1,1,1,1,1,1,2,6,1,2,1,1,73,1,2,3,3,2,2,1, , , ,1, ,5,2, ,2,2, , ,1,.8859473,1.2222229
109665,2,1,2/6/2021,1,36,5,U,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,2,2,1,1,2,1,1,2,2, ,1, , ,4,2,2,2,2,2,1,1,1,2,2,1,2,10,1,2,2,2,72,4,2,8,2,2,2,1, , , ,1, ,8,2, ,1, , , ,2,.5118433,.8967786
109908,2,1,1/28/2021,1,48,5,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,2,2,2,2,2,2,2,1, ,1,2,2,2,3,2,1,3,8,1,1,1,1,15,1,1,1,1,72,5,2,6,3,1,2,1, , , ,1, ,3,1, ,2,2, , ,2,.3464017,.4333079
109918,2,1,2/2/2021,1,8,3,S,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,1,1,2,2,1,1,2,2, , , ,1,2,1,1,1,2,2,2,1,1,1,2,1,1,35,1,2,1,1,23,6,2,6,1,2,2,1, , , ,1, ,4,3,2,4,3, , ,1,.5692056,.3946651
110010,2,1,2/8/2021,1,12,5,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,1,2,2,2, , , , ,1,2,2,2,3,2,2,1,1,2,1,1,2,50,1,1,1,1,59,6,2,7,1,2,2,1, , , ,1, ,8,3,1,1, , , ,1,.3110796,.3998184
110013,2,1,1/29/2021,1,51,5,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,1,2,2,2,2, ,3,1,3,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,1,23,6,2,5,2,2,2,1, , , ,1, ,6,1, ,4,4, , ,1,1.4550559,1.0611552
110097,2,1,2/5/2021,1,46,1,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,2,1,2,2,2, ,1,1, ,4,2,2,2,2,1,1,1,1,1,1,1,1,35,1,2,2,2,72,1,2,6,3,2,2,1, , , ,1, ,9,3,2,2,2, , ,2,.4683348,.7479748
110117,2,1,2/1/2021,1,32,2,U,2,1,2,2, ,2,2, , , ,2,2,8,2, ,2,2,1,Internet is too high, ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2, ,2, ,2,3,1,1,2,2,2,2,0, , , ,1,78,3,2,5,3,2,2,1, , , ,1, ,2,3,1,1, , , ,2,.5258882,.6420375
110268,2,1,1/27/2021,1,55,2,R,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2, ,2, ,3,2,2, ,2,1,2,1,1,1,2,1,1,30,1,2,1,2,34,1,1,6,1,2,2,1, , , ,1, ,7,2, ,3,2, , ,2,1.14488,.9221477
110619,2,1,2/2/2021,1,47,2,U,2,1,1,1,1,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,1,1,2,2,1,2,2,2, , ,4,1,2,2,2,2,2,3,3,1,2,3,1,1,2,8,1,2,1,1,21,6,2,3,4,2,2,1, , , ,1, ,9,3,1,3,3, , ,2,.8430756,.7249898
110636,2,1,2/4/2021,1,55,2, ,2,2,1,1,2,1,1,8, , ,1,2,2,2,1,1,1,2, ,5,2,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2, , ,3, ,3,2, , ,3,3,2,2,2,2,1,1,2,5,1,1,1,2,20,6,2,3,2,2,2,1, , , ,1, ,10,3,1,3,3, , ,2,2.0746808,1.7191742
110640,2,1,2/4/2021,1,8,3,U,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1, , , , ,5,2,2, ,2,2,1,1,1,1,1,1,2,20,1,2,1,2,46,1,1,8,1,2,2,1, , , ,1, ,9,2, ,4,2, , ,2,.9377593,.7638474
110645,2,1,1/27/2021,1,4,1,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2, , ,3, ,3,2,2, ,2,2,1,8,1,2,2,1,2,40,1,1,1,2,40,1,1,6,4,2,2,1, , , ,1, ,6,1, ,7,2, , ,2,.9169281,.7615946
110686,2,1,2/1/2021,1,54,1,R,2,2,1,1,1,1,2, , , ,1,1,2,1,1,1,1,2, ,5,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,1,1,1,5,2, , ,1,1,1,2,1,2,2,2,1,2,1,1,2,2,23,1,2,3,1,2,2,1, , , ,1, ,8,2, ,2,2, , ,2,1.9757046,1.7323261
110881,2,1,2/7/2021,1,42,4,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,1,2,2,1, , ,3, ,5,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,73,1,2,8,4,1,2,1, , , ,1, ,8,3,1,2,2, , ,1,.3809014,.5547485
110997,2,1,2/2/2021,1,48,1,S,2,2,1,1,3,1,1,2, , ,2, , , , , , , , , ,2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2, , ,1, ,2,2,2, ,3,2,2,2,2,8,2,1,2,96,1,1,1,2,79,3,2,4,2,2,2,1, , , ,1, ,3,3,1,1, , , ,2,.7292586,1.2197725
111007,2,1,2/5/2021,1,6,5,S,2,1,1,2,5,2,8, , , ,2,2,1,1, ,2,2,1,to expen,6,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2, , , , ,5,1, , ,4,3,8,2,3,3,2,2,1,40,1,2,2,1,18,6,2,4,4,1,1,4, , , ,5,1,6,5,1,8,4, , ,2,1.6194857,1.3818764
111102,2,1,1/26/2021,1,42,2,R,2,1,1,1,2,2,2, , , ,2,2,2,2, ,1,2,2, , ,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2, , , , ,2,2, , ,4,1,1,1,1,1,2,2,2,10,1,2,2,1,59,6,2,6,1,2,2,1, , , ,1, ,10,1, ,1, , , ,2,.3456741,.4065428
111121,2,1,1/28/2021,1,34,5, ,2,1,2,1,4,2,2, , , ,1,1,2,2,2,2,1,1,cabell issues,6,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2, , ,1, ,4,2, , ,4,3,3,3,8,3,1,1,2,1,1,2,2,1,55,4,2,3,1,2,2,2, , , ,2, ,3,2, ,1, , , ,2,1.1568814,.9009691
111128,2,1,1/31/2021,1,12,3,S,2,1,1,2,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,1, , , , ,3,2,2,2,3,1,1,1,1,1,2,1,2,20,1,2,2,1,77,2,2,6,3,2,2,1, , , ,1, ,9,1, ,2,2, , ,1,.3248272,.4094218
111204,2,1,2/1/2021,1,53,1,S,2,1,1,1,1,1,1,1,1, ,1,1,2,1,1,1,2,2, ,2,1, , , , ,2,2,1,1,1,1,2,2,2,2,2, , ,1,1,1,2, ,2,2,2,1,2,2,3,2,2,1,0, , , ,1,25,6,2,3,4,1,1,7, , , ,5,1,1,2, ,3,3, , ,1,1.4044868,1.0909883
111243,2,1,1/28/2021,1,47,3,S,2,1,1,1,3,1,1,2, , ,1, , , , , , , , , ,2,2,2,2,1,2,1,1,2,1,2,1,2,1,1,8, ,5,1, ,4,2,2, ,4,3,3,2,1,2,1,2,2,3,1,2,2,1,31,1,1,3,1,2,2,1, , , ,1, ,6,3,8,4,2, , ,1,1.068955,.9412597
111259,2,1,1/26/2021,1,36,1,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,2,2,2,2,2, ,2,1, ,3,2,2,2,2,2,2,2,2,1,2,1,1,4,1,2,2,1,29,6,1,3,4,2,2,1, , , ,1, ,6,3,8,5,3, , ,1,1.1394852,1.0280731
111473,2,1,1/26/2021,1,42,2,U,2,1,2,2, ,2,1,2, , ,2, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,1,2,2,2,2, , , , ,2,2,2,2, ,2,2,2,1,2,1,2,2,14,1,1,2,1,73,1,2,3,3,1,2,1, , , ,1, ,5,1, ,2,2, , ,1,.8859473,1.2222229
111503,2,1,1/29/2021,1,21,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,1,2,2,2, , ,1, ,3,1,1,2,1,1,1,1,1,1,1,1,2,98,2,2,1,1,73,1,2,4,3,1,2,1, , , ,1, ,4,2, ,2,2, , ,2,.5640436,.6986368
111514,2,1,1/29/2021,1,40,4,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2, ,1, ,3,3,2,2, ,3,1,1,1,1,2,2,1,1,15,1,1,1,2,28,6,2,6,1,2,2,1, , , ,1, ,4,3,1,1, , , ,2,.7366644,.5917809
111515,2,1,2/1/2021,1,17,4,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,1,2,2,2, , ,1, ,3,2,2,2,3,1,1,1,1,1,2,1,2,20,1,1,2,1,58,1,2,6,1,2,2,1, , , ,1, ,9,3,9,2,2, , ,2,.4545731,.4618347
111540,2,1,1/29/2021,1,48,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,1,1,2,2,2,2,2,2, , ,2,1,1,2,2,2,4,2,1,1,1,1,1,1,1,2,1,2,2,1,21,6,2,3,1,2,2,1, , , ,1, ,4,1, ,1, , , ,2,.8639472,.7358299
111552,2,1,1/28/2021,1,46,1,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,2,1,2,2,2, , ,3, ,4,2,2,2,2,2,2,1,1,2,1,1,2,3,1,2,2,1,68,1,2,8,3,2,2,1, , , ,1, ,9,1, ,2,2, , ,1,.3110798,.4034687
111571,2,1,2/5/2021,1,6,5,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,2,2,1,2,2,2,2,2,2, ,5, , ,3,1,2,2,3,2,2,2,2,1,1,1,1,15,1,1,1,1,35,6,1,5,1,2,2,5, , , ,5, ,8,3,9,4,3, , ,2,1.7014227,1.5070113
111616,2,1,2/1/2021,1,12,3,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,1,1,2,2,1, ,4,3, ,4,2,2,2,3,1,1,1,1,2,1,1,2,2,2,2,1,1,75,1,2,6,3,2,2,1, , , ,1, ,7,3,1,2,2, , ,1,.3248272,.4094218
111924,2,1,2/2/2021,1,4,1,S,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2, , , , ,2,2,2, ,2,1,1,1,1,1,1,1,2,10,1,2,2,2,45,1,2,8,4,2,2,5, , , ,5, ,4,2, ,4,4, , ,2,1.0402045,1.003937
111979,2,1,1/28/2021,1,37,1,R,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,1,2,2,1,2, ,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,40,1,2,3,1,2,2,2, , , ,2, ,4,2, ,4,4, , ,2,2.4596811,2.1482023
112021,2,1,1/26/2021,1,45,3,S,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,2,1,2,1,2, ,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,96,2,2,1,2,47,3,1,5,1,1,2,2, , , ,2, ,4,2, ,5,3, , ,2,1.498318,1.1186684
112081,2,1,1/28/2021,1,38,1, ,2,2,1,1,5,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,2,2,1,2,1,2,2,2,2, ,5, , ,5,2,2,2,3,2,2,8,8,2,1,1,2,5,1,1,2,2,69,1,2,4,3,2,2,1, , , ,1, ,10,9,9,2,2, , ,2,.7847505,1.2286115
112342,2,1,1/26/2021,1,39,4,U,2,1,1,2,1,1,1,1,1, ,2,2,8,2, ,1,2,1,not ready for it yet,8,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,3,2, , ,2,2,3,1,1,2,2,1,2,2,1,2,2,1,59,6,2,2,4,1,2,2, , , ,2, ,2,2, ,1, , , ,2,1.2645197,1.0510774
112405,2,1,1/28/2021,1,48,3,U,2,1,1,1,3,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,1,1,1,2,2,1, , , , ,1,2,2,2,3,3,3,2,1,3,1,1,1,2,1,2,2,1,61,1,1,5,1,2,2,1, , , ,1, ,8,8,8,3,3, , ,2,.6898532,.6588925
