Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,20200520,20200523,1948.6,1584,2
"South Texas Hail Storms (May 2020)",Severe Storm,20200527,20200527,1722,1400,0
"Central Severe Weather (July 2020)",Severe Storm,20200710,20200711,1459.1,1196,0
"Hurricane Hanna (July 2020)",Tropical Cyclone,20200725,20200726,1300.8,1075,0
"Hurricane Isaias (August 2020)",Tropical Cyclone,20200803,20200804,5756.1,4757,16
"Central Severe Weather - Derecho (August 2020)",Severe Storm,20200810,20200810,13452.9,11027,4
"Hurricane Laura (August 2020)",Tropical Cyclone,20200827,20200828,28090.3,23215,42
"Hurricane Sally (September 2020)",Tropical Cyclone,20200915,20200917,8801.5,7274,5
"Hurricane Delta (October 2020)",Tropical Cyclone,20201009,20201011,3469.3,2867,5
"Hurricane Zeta (October 2020)",Tropical Cyclone,20201028,20201029,5266,4352,6
"Tropical Storm Eta (November 2020)",Tropical Cyclone,20201108,20201112,1766.7,1460,12
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,20200801,20201230,19904.5,16450,46
"Western/Central Drought and Heat Wave (Summer-Fall 2020)",Drought,20200601,20201230,5439.1,4495,45
"California Flooding and Severe Weather (January 2021)",Flooding,20210124,20210129,1325,1095,2
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,20210210,20210219,27223.2,22686,262
"Southeast Tornadoes and Severe Weather (March 2021)",Severe Storm,20210324,20210325,1995.8,1677,6
"Eastern Severe Weather (March 2021)",Severe Storm,20210327,20210328,1601.9,1346,8
"Texas Hail Storms (April 2021)",Severe Storm,20210412,20210415,1755.3,1475,0
"Texas and Oklahoma Severe Weather (April 2021)",Severe Storm,20210427,20210428,3747.4,3149,0
"Southern Tornadoes and Southeast Severe Weather (May 2021)",Severe Storm,20210502,20210504,1479.1,1264,4
"Louisiana Flooding (May 2021)",Flooding,20210517,20210518,1569.6,1319,5
"Ohio Valley Hail Storms (June 2021)",Severe Storm,20210617,20210618,1980.1,1707,0
"Central Severe Storms (June 2021)",Severe Storm,20210624,20210626,1453.6,1253,0
"Tropical Storm Elsa (July 2021)",Tropical Cyclone,20210707,20210709,1407.1,1213,1
"Central Severe Storms (July 2021)",Severe Storm,20210708,20210711,1252.8,1080,0
"North Central Severe Weather (August 2021)",Severe Storm,20210810,20210813,1489.5,1284,2
"Tropical Storm Fred (August 2021)",Tropical Cyclone,20210816,20210818,1481.3,1277,7
"Hurricane Ida (August 2021)",Tropical Cyclone,20210829,20210901,84608.1,73572,96
"Hurricane Nicholas (September 2021)",Tropical Cyclone,20210914,20210918,1168.5,1016,0
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,20211210,20211210,4463.1,3915,93
"Midwest Derecho and Tornado Outbreak (December 2021)",Severe Storm,20211215,20211215,2031.5,1782,1
"Western Wildfires (2021)",Wildfire,20210601,20211231,12064,10400,8
"Western Drought and Heat Wave (2021)",Drought,20210101,20211231,10201.9,8431,229
"Texas Hail Storms (February 2022)",Severe Storm,20220221,20220222,1118.9,1008,0
"Southern Tornado Outbreak (March 2022)",Severe Storm,20220330,20220330,1381.6,1256,2
"Southeast Tornado Outbreak (April 2022)",Severe Storm,20220404,20220406,1544.8,1417,3
"Southern Severe Weather (April 2022)",Severe Storm,20220411,20220413,2915.7,2675,1
"Southern and Central Severe Weather (May 2022)",Severe Storm,20220501,20220503,1230.1,1139,1
"North Central Hail Storms (May 2022)",Severe Storm,20220509,20220509,2354.4,2160,0
"North Central Severe Weather (May 2022)",Severe Storm,20220511,20220512,2949.6,2706,1
"North Central Hail Storms (May 2022)",Severe Storm,20220519,20220519,2625.4,2431,0
"Central Severe Weather (June 2022)",Severe Storm,20220607,20220608,2044.8,1911,0
"Central Derecho (June 2022)",Severe Storm,20220613,20220613,3418.6,3195,1
"North Central and Eastern Severe Weather (July 2022)",Severe Storm,20220722,20220724,1433.8,1340,1
"Kentucky and Missouri Flooding (July 2022)",Flooding,20220726,20220728,1567.6,1465,42
"Hurricane Fiona (September 2022)",Tropical Cyclone,20220917,20220918,2685.7,2510,25
"Hurricane Ian (September 2022)",Tropical Cyclone,20220928,20220930,119626,111800,152
"Hurricane Nicole (November 2022)",Tropical Cyclone,20221110,20221111,1081.2,1020,5
"Western Wildfires (Spring-Fall 2022)",Wildfire,20220401,20221130,3327.9,3110,17
"Central and Eastern Winter Storm and Cold Wave (December 2022)",Winter Storm,20221221,20221226,8951.7,8445,87
"Western/Central Drought and Heat Wave (2022)",Drought,20220101,20221231,23480.6,20965,136
"Northeastern Winter Storm/Cold Wave (February 2023)",Winter Storm,20230202,20230205,1838.8,1751,1
"Southern and Eastern Severe Weather (March 2023)",Severe Storm,20230302,20230303,6170,5876,13
"California Flooding (December 2022 - March 2023)",Flooding,20221226,20230319,4725,4500,22
"Southern and Eastern Severe Weather (April 2023)",Severe Storm,20230324,20230326,2956,2815,23
"Central Tornado Outbreak and Eastern Severe Weather (March 2023)",Severe Storm,20230331,20230401,5909.8,5628,33
"Central and Eastern Severe Weather (April 2023)",Severe Storm,20230404,20230406,2956.1,2815,5
"Fort Lauderdale Flash Flood (April 2023)",Flooding,20230412,20230413,1144,1100,0
"Central and Southern Severe Weather (April 2023)",Severe Storm,20230415,20230415,1401.9,1335,0
"Central Severe Weather (April 2023)",Severe Storm,20230419,20230420,3108.3,2960,1
"Southern Severe Weather (April 2023)",Severe Storm,20230425,20230427,1372.8,1320,0
"Central Severe Weather (May 2023)",Severe Storm,20230506,20230508,2222.5,2137,1
"Central and Eastern Tornadoes and Hail Storms (May 2023)",Severe Storm,20230510,20230512,3563,3426,1
"Texas Hail Storms (May 2023)",Severe Storm,20230518,20230519,1690,1625,0
"Typhoon Mawar (May 2023)",Tropical Cyclone,20230524,20230525,4420,4250,2
"Southern Severe Weather (June 2023)",Severe Storm,20230611,20230614,4193.2,4032,0
"Central and Southern Severe Weather (June 2023)",Severe Storm,20230615,20230618,3918.7,3768,5
"Rockies Hail Storms and Central and Eastern Severe Weather (June 2023)",Severe Storm,20230621,20230626,5453.9,5244,8
"Central Severe Weather (June 2023)",Severe Storm,20230628,20230702,1976.8,1919,3
"Northeastern Flooding and North Central Severe Weather (July 2023)",Flooding,20230709,20230715,2230.4,2165,10
"North Central and Southeastern Severe Weather (July 2023)",Severe Storm,20230719,20230721,1887,1832,1
"North Central and Eastern Severe Weather (July 2023)",Severe Storm,20230728,20230729,1526.6,1482,2
"Hawaii Firestorm (August 2023)",Wildfire,20230808,20230808,5665,5500,100
"Northeastern and Eastern Severe Weather (August 2023)",Severe Storm,20230805,20230808,1680.2,1631,4
"Minnesota Hail Storms (August 2023)",Severe Storm,20230811,20230811,1828.3,1775,0
"Hurricane Idalia (August 2023)",Tropical Cyclone,20230829,20230831,3559.7,3456,5
"Southern Hail Storms (September 2023)",Severe Storm,20230923,20230924,1694.5,1645,0
"Southern/Midwestern Drought and Heatwave (Spring-Fall 2023)",Drought,20230401,20230930,14786.7,14082,247
"East Coast Storm and Flooding (December 2023)",Flooding,20231216,20231218,1314.4,1276,5
"Southern Tornado Outbreak and East Coast Storm (January 2024)",Severe Storm,20240108,20240110,2780.2,2726,3
"Northwest Winter Storm (January 2024)",Winter Storm,20240112,20240114,1723.8,1690,20
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Winter Storm,20240114,20240118,1948.3,1910,41
"Southern Severe Weather (February 2024)",Severe Storm,20240210,20240212,1072,1051,0
"Central and Eastern Severe Weather (February 2024)",Severe Storm,20240227,20240228,1534,1504,0
"Central and Southern Severe Weather (March 2024)",Severe Storm,20240312,20240314,6151.6,6031,3
"Central Tornado Outbreak and Eastern Severe Weather (April 2024)",Severe Storm,20240401,20240403,2465.5,2441,3
"Southern and Eastern Severe Weather (April 2024)",Severe Storm,20240408,20240411,2725.1,2698,0
"Central and Southern Tornado Outbreak (April 2024)",Severe Storm,20240426,20240428,1697.8,1681,3
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,20240506,20240509,6571,6571,3
"Southern Severe Weather (May 2024)",Severe Storm,20240511,20240513,1124,1124,1
"Southern Derecho (May 2024)",Severe Storm,20240516,20240517,1551,1551,8
"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,20240518,20240522,4907.8,4859,5
"Central Tornado Outbreak (May 2024)",Severe Storm,20240525,20240526,3466.4,3432,16
"Texas Hail Storms (May 2024)",Severe Storm,20240527,20240528,2348.3,2325,1
"Colorado Hail Storms and Southern Severe Weather (May 2024)",Severe Storm,20240531,20240601,3012.8,2983,0
"Central and Eastern Severe Weather (June 2024)",Severe Storm,20240612,20240614,1228,1228,0
"Upper Midwest Flooding (June 2024)",Flooding,20240616,20240623,1113,1113,4
"Central and Northeast Severe Weather (June 2024)",Severe Storm,20240624,20240626,1704,1704,3
"New Mexico Wildfires (June 2024)",Wildfire,20240617,20240707,1780,1780,2
"Hurricane Beryl (July 2024)",Tropical Cyclone,20240708,20240708,7219,7219,46
"Central and Eastern Tornado Outbreak and Severe Weather (July 2024)",Severe Storm,20240713,20240716,2435,2435,2
"Hurricane Debby (August 2024)",Tropical Cyclone,20240805,20240809,2476,2476,17
"Hurricane Francine (September 2024)",Tropical Cyclone,20240911,20240912,1291,1291,0
"Hurricane Helene (September 2024)",Tropical Cyclone,20240924,20240929,78721,78721,219
"Hurricane Milton (October 2024)",Tropical Cyclone,20241009,20241010,34250,34250,32
"Southern/Eastern/Northwestern Drought and Heat Wave (2024)",Drought,20240101,20241231,5417,5311,136
