Entity,Code,Year,$40 - total number of people above poverty line,$30-$40 - total number of people between poverty lines,$20-$30 - total number of people between poverty lines,$10-$20 - total number of people between poverty lines,$6.85-$10 - total number of people between poverty lines,$3.65-$6.85 - total number of people between poverty lines,$2.15-$3.65 - total number of people between poverty lines,$1-$2.15 - total number of people between poverty lines,$1 - total number of people below poverty line
East Asia and Pacific,,2006,8531364,9309484,29668822,178951886,226968974,549558464,505036479,366448559,35502708
East Asia and Pacific,,2007,10601793,11248435,35707644,211762184,249204511,569233981,475538799,331914039,28891005
East Asia and Pacific,,2008,12843024,13385819,41164113,233448810,261890091,577385473,456352887,314645080,27025174
East Asia and Pacific,,2009,15103848,15617885,47824285,262501244,278939733,584542696,444098749,283652707,19818659
East Asia and Pacific,,2010,19716545,19088182,59457583,311197513,305357108,583704316,405710242,248577085,13227686
East Asia and Pacific,,2011,22141285,21537884,67605206,348434378,326615603,605049009,384305442,195627542,9705685
East Asia and Pacific,,2012,26558210,26586575,81665339,393016134,338989325,597689888,357330507,169307327,6823685
East Asia and Pacific,,2013,30626010,33327955,101032263,446726138,371420241,622298275,318947943,87124183,3358907
East Asia and Pacific,,2014,34786713,38323939,116626718,491918226,388013927,605477422,283496469,69599269,3026439
East Asia and Pacific,,2015,40541570,43771312,131790494,534301138,404726287,592358332,244174119,53093913,2156677
East Asia and Pacific,,2016,46923241,50901464,148123360,568920540,416947692,568520191,215752588,44434439,1793168
East Asia and Pacific,,2017,55697759,56514437,163563232,593768960,416288278,557656348,194914630,38084293,1567872
East Asia and Pacific,,2018,63705354,64543413,181001150,631182227,421689973,533682357,164004266,30650416,1306649
East Asia and Pacific,,2019,72176614,70184963,196409358,662273336,428254805,514769865,136080620,22769457,872035
East Timor,TLS,2001,171,2025,4233,41062,74945,280976,301318,189330,7154
East Timor,TLS,2007,177,248,1888,15026,60311,342857,436120,178128,1633
East Timor,TLS,2014,405,846,4714,43491,110018,506932,413908,93705,314
Ecuador,ECU,1994,253095,163546,394520,1563333,1562408,3330560,1999419,1195247,745871
Ecuador,ECU,1999,283971,182179,386081,1684040,1472840,3395159,2320053,1630818,1086968
Ecuador,ECU,2000,205956,129338,291206,1134314,1289700,3253480,2771833,2484449,1120847
Ecuador,ECU,2003,378568,319230,638116,2305025,2005619,3609760,2127474,1397697,588189
Ecuador,ECU,2004,387881,282985,635361,2301796,1982470,3606955,2357167,1387447,654328
Ecuador,ECU,2005,552859,366331,883528,2837588,2183384,3475959,1894256,1160280,471654
Ecuador,ECU,2006,614564,418418,1001939,3274563,2305737,3612683,1685104,883980,262391
Ecuador,ECU,2007,695075,508132,1078051,3200734,2397819,3617151,1581683,887832,330077
Ecuador,ECU,2008,643880,514878,1101232,3553002,2574630,3454809,1601100,755551,336658
Ecuador,ECU,2009,577919,463423,1099966,3598589,2659108,3760426,1534898,821534,258549
Ecuador,ECU,2010,688112,606512,1256058,3931847,2711071,3545997,1419156,653854,198507
Ecuador,ECU,2011,738798,658400,1551102,4380392,2627184,3410231,1166011,513981,197786
Ecuador,ECU,2012,846280,736487,1606247,4765039,2652003,3061510,1115902,526742,163889
Ecuador,ECU,2013,937280,736615,1688598,4673327,2766942,3305817,1089801,411167,97926
Ecuador,ECU,2014,924218,773034,1722516,5174182,2954797,3017423,965234,341158,79270
Ecuador,ECU,2015,973960,730960,1878396,5016188,2943654,3122258,988902,421246,136458
Ecuador,ECU,2016,937112,723972,1882593,5265030,3037784,3070814,984249,472030,117532
Ecuador,ECU,2017,1020842,805992,1948435,5559146,2907161,3052594,951830,442079,97277
Ecuador,ECU,2018,1080672,814191,1886630,5542421,3002479,3099589,1092630,473445,92302
Ecuador,ECU,2019,1046446,804524,1984724,5370692,3004940,3445567,1094164,539924,82676
Ecuador,ECU,2020,838466,669498,1594428,4927937,3504406,3570093,1388038,966537,183657
Ecuador - urban,,1987,82311,66772,191303,867940,815053,1355106,759136,573682,313552
Ecuador - urban,,1995,113935,113448,262792,921546,943478,2098476,1249779,549694,364066
Ecuador - urban,,1998,114097,123575,290834,1036068,1016611,2052543,1442369,826924,329561
Egypt,EGY,1990,121316,158453,514081,3789378,7280148,25250507,16048506,2942497,29592
Egypt,EGY,1995,139353,135663,443452,3408508,7192390,29882087,19239651,1860061,32860
Egypt,EGY,1999,240104,243944,813908,6384063,12306735,33924084,12669001,881680,52072
Egypt,EGY,2004,187118,289208,907375,5329096,9793852,36794864,18565578,2290973,14009
Egypt,EGY,2008,241002,268848,842052,5586808,11018392,40958156,18433752,2285579,1492
Egypt,EGY,2010,246591,251924,1195453,8167657,14497410,43694210,13849505,858494,0
Egypt,EGY,2012,186290,340751,1141185,8560811,17625354,46729353,11069271,769225,0
Egypt,EGY,2015,486832,433807,1566798,10833492,19534991,47390878,11358194,810255,27302
Egypt,EGY,2017,316721,357891,1269720,8469258,15976337,48838389,18798531,2403867,11876
El Salvador,SLV,1989,55423,57124,192318,1002529,871461,1321472,717225,505232,477824
El Salvador,SLV,1991,91501,66064,189748,760209,716170,1425642,914339,672079,506438
El Salvador,SLV,1995,123495,78408,225304,974199,948935,1604802,927146,477435,268878
El Salvador,SLV,1996,123638,87527,246470,983868,852509,1643891,883626,586016,282398
El Salvador,SLV,1998,129241,122548,261908,1040961,886078,1364388,773310,582223,637107
El Salvador,SLV,1999,151012,118787,313251,1120093,906873,1460543,765973,515406,492896
El Salvador,SLV,2000,165818,165342,379059,1201763,974918,1488095,750864,497489,264582
El Salvador,SLV,2001,170745,150130,360237,1183414,956843,1477520,792130,523895,312087
El Salvador,SLV,2002,149481,134146,398166,1242239,915991,1471111,772849,534594,343562
El Salvador,SLV,2003,135347,124414,328456,1219085,976111,1507095,755677,513091,434799
El Salvador,SLV,2004,139289,108526,352936,1313521,992057,1666096,759340,432011,260025
El Salvador,SLV,2005,136170,129219,354094,1263317,1032985,1669436,784317,483901,198685
El Salvador,SLV,2006,134419,102598,334843,1304735,1132636,1795704,809347,403927,61186
El Salvador,SLV,2007,144652,135104,338535,1401518,1202934,1860133,713462,279795,29677
El Salvador,SLV,2008,142745,142921,362183,1296954,1064572,1814535,834637,428565,44655
El Salvador,SLV,2009,159597,97484,295741,1276448,1218785,1834287,818439,414875,42022
El Salvador,SLV,2010,119090,124185,338428,1379067,1184821,1810294,835586,357946,34460
El Salvador,SLV,2011,98412,102357,309628,1362647,1233941,1961200,810680,311211,20491
El Salvador,SLV,2012,112516,97885,309123,1440915,1337971,1936794,713456,265451,23811
El Salvador,SLV,2013,138834,136278,382355,1557964,1372895,1785603,665019,212981,14147
El Salvador,SLV,2014,132770,136165,396925,1577076,1362895,1824032,648615,206864,9782
El Salvador,SLV,2015,131521,133321,367455,1738884,1411531,1816835,579537,139200,6837
El Salvador,SLV,2016,123791,124553,430018,1832092,1383192,1702097,593038,159714,7642
El Salvador,SLV,2017,105552,124500,437324,1953532,1446368,1703032,480120,129898,7798
El Salvador,SLV,2018,137430,158652,546585,2048030,1412328,1542956,456440,111749,6570
El Salvador,SLV,2019,173368,223031,592394,2194957,1413967,1430463,334897,88363,2110
Estonia,EST,1993,38963,36115,113183,499539,342275,364157,79688,15591,4617
Estonia,EST,1995,14,13223,90503,494710,373294,378306,78112,7539,933
Estonia,EST,1998,42563,41167,123360,489290,311249,323914,52360,2253,0
Estonia,EST,2000,27992,31877,114899,493407,333730,312437,62609,19217,817
Estonia,EST,2001,26342,26355,109669,462249,336393,341327,68870,14691,2219
Estonia,EST,2002,20727,35774,119151,468707,336453,320690,58990,16758,2100
Estonia,EST,2003,24781,28686,113273,512350,316790,283902,74801,14514,1623
Estonia,EST,2004,30439,46817,156784,562803,285537,226365,46319,6941,545
Estonia,EST,2005,93902,103037,283303,634695,136683,76788,15371,7857,3139
Estonia,EST,2006,126447,145336,331469,582662,99106,42539,8154,4893,6204
Estonia,EST,2007,192908,196885,358917,487091,64908,27891,6378,2576,3126
Estonia,EST,2008,200679,199939,368283,464736,63368,27724,7197,2210,2954
Estonia,EST,2009,175791,174773,396211,468945,64853,37695,8840,4807,2600
Estonia,EST,2010,145672,175697,350097,496097,87259,53022,13083,4107,6441
Estonia,EST,2011,172386,170568,333509,506029,82447,40696,8800,5662,7342
Estonia,EST,2012,197720,176246,346833,470673,76951,33981,10508,5236,4548
Estonia,EST,2013,248986,185466,328214,425109,74430,34175,10287,2822,8508
Estonia,EST,2014,284334,209020,359918,364300,44224,34632,7199,4577,6341
Estonia,EST,2015,348054,218568,386955,286673,44987,18054,4223,3312,4581
Estonia,EST,2016,407944,226498,394131,229577,33597,15159,2699,2527,3658
Estonia,EST,2017,461141,227461,390295,195775,25186,9997,3989,1328,2212
Estonia,EST,2018,507891,239313,369648,170023,20781,7581,3452,719,2569
Estonia,EST,2019,529760,258384,361370,144020,14711,6858,4405,3593,3797
Eswatini,SWZ,1994,9,0,0,6561,9577,39136,76792,218608,556939
Eswatini,SWZ,2000,4048,3066,12457,43151,42700,131487,204140,396220,168163
Eswatini,SWZ,2009,2210,3815,11790,54592,62750,184954,215751,345610,175990
Eswatini,SWZ,2016,11035,11814,27768,109367,83580,223769,244734,306343,95584
Ethiopia,ETH,1995,137165,87109,199937,580557,1058123,5372718,12400099,27414753,9797445
Ethiopia,ETH,1999,17955,12288,53018,485173,965513,6588931,22340664,30467664,3411802
Ethiopia,ETH,2004,33282,35701,122986,950132,1674045,14520869,31409618,24750738,742137
Ethiopia,ETH,2010,51802,48443,219880,1691802,3178644,19594702,35457938,24320954,3075797
Ethiopia,ETH,2015,60140,112835,359706,3105186,5528700,26096175,38339456,23831023,3402232
Ethiopia - rural,,1981,1875,8548,25889,164579,306268,2150055,7922103,18023339,3563916
Europe and Central Asia,,1990,18575850,20003258,57684717,151573931,79114069,87802669,33638535,10895903,4068790
Europe and Central Asia,,1991,15227379,15653331,47197509,153621975,82717472,95586706,37817337,13142648,4451202
Europe and Central Asia,,1992,11742715,12322348,39462937,141303762,85918845,106278452,45065451,19326427,5624175
Europe and Central Asia,,1993,9133188,8652800,29437457,125785579,89329571,123888497,52349319,23655250,6233836
Europe and Central Asia,,1994,9040272,8790063,28150804,114407200,81477004,125105262,63665835,30946971,7683037
Europe and Central Asia,,1995,10148451,10379811,32827722,128808025,85556423,109246412,53760937,29949112,8812383
Europe and Central Asia,,1996,9637119,9681726,30113843,116651683,85752963,121071743,57895760,29969384,8946418
Europe and Central Asia,,1997,8151032,9272753,31474245,123892189,90855311,119889095,49941759,26949768,9562556
Europe and Central Asia,,1998,8674379,10327355,31259588,122381345,88418019,120347844,52722437,27031881,8982851
Europe and Central Asia,,1999,5674753,6895974,25962857,105237786,80819505,130738413,68442557,35857698,10384459
Europe and Central Asia,,2000,6431925,7839480,28838943,113341059,86491670,127099078,56523954,31718024,11277148
Europe and Central Asia,,2001,6884078,8871759,31375175,119017252,88844917,124107614,50702407,29468306,9703842
Europe and Central Asia,,2002,8340385,10633093,35481257,122878980,91265674,120354887,44809030,26753923,8004523
Europe and Central Asia,,2003,12050480,13625991,37603534,123393074,89918880,116835009,41191059,24378025,9574160
Europe and Central Asia,,2004,14424660,16598682,43481747,134056484,90852669,105317125,34608998,21220657,8263766
Europe and Central Asia,,2005,17302628,17301873,45928275,144166828,91232765,92920067,30957391,21814385,7519509
Europe and Central Asia,,2006,20255028,18934121,51641676,154333899,88151187,84561901,25671429,19451767,6618687
Europe and Central Asia,,2007,25839264,21510217,56698946,162553757,84241533,73897385,22170637,17820526,5566531
Europe and Central Asia,,2008,29539098,25965654,64175448,172694742,78458249,60968889,18982040,16087884,4628074
Europe and Central Asia,,2009,27999568,25323080,61910238,174678995,81000469,63075105,19017913,16237538,3925464
Europe and Central Asia,,2010,30452810,27980782,68370090,174692455,76030329,58558823,18964176,16153486,3795906
Europe and Central Asia,,2011,33102122,28149222,70925862,178952258,74412680,54002785,19023650,15127236,3429866
Europe and Central Asia,,2012,35443376,29333870,73650257,179449919,72040553,52550946,18873874,14702771,3222838
Europe and Central Asia,,2013,36436657,31936709,76303816,183583194,69115710,49050184,18853661,13771869,2610714
Europe and Central Asia,,2014,36817737,32757401,79468837,182403442,68326959,47634631,19478866,14133477,3036856
Europe and Central Asia,,2015,34656557,32380656,76902188,182959873,72213566,51650195,20168139,13165353,2406784
Europe and Central Asia,,2016,36343611,34242196,77411378,182641486,72605940,52439008,19131685,11698386,2355898
Europe and Central Asia,,2017,38223082,36547907,83154580,184419537,68288547,47361588,19134523,11659608,2300910
Europe and Central Asia,,2018,39481279,36279730,83356615,189776258,67977533,46020121,18221753,10327167,1649557
Europe and Central Asia,,2019,44310053,41295266,88988813,184947984,61117465,43752425,18802271,10163200,1603663
Fiji,FJI,2002,9715,13084,46122,195956,183929,262480,90290,13456,225
Fiji,FJI,2008,17087,15459,49546,215985,209476,258402,70718,8683,0
Fiji,FJI,2013,14148,15115,48717,240159,213298,282186,48832,3147,0
Fiji,FJI,2019,1568,4141,17663,179970,218522,358130,98229,11732,0
Finland,FIN,1987,1479866,1455071,1516395,445090,23719,11982,0,0,0
Finland,FIN,1991,2018575,1466635,1227728,275868,12568,12366,0,0,0
Finland,FIN,1995,1622035,1494097,1583622,395767,0,12269,0,0,0
Finland,FIN,2000,2278837,1371278,1125928,374804,12582,12780,0,0,0
Finland,FIN,2003,2557987,1342919,973659,305992,20048,7647,2193,643,1926
Finland,FIN,2004,2730487,1334441,877340,267517,9749,4892,1685,774,1287
Finland,FIN,2005,2966161,1219638,836852,205189,6641,5789,2924,648,2254
Finland,FIN,2006,3023938,1223212,761880,232575,13308,4908,2214,708,3525
Finland,FIN,2007,3197053,1154883,704856,212293,12351,1924,1989,980,2391
Finland,FIN,2008,3292838,1169226,624145,206666,8533,5235,3894,2147,715
Finland,FIN,2009,3418052,1093928,623077,183407,13086,3938,582,681,2120
Finland,FIN,2010,3488386,1050307,617475,186726,11722,4971,877,1358,1530
Finland,FIN,2011,3557769,1037756,591231,188362,6648,3007,945,572,1982
Finland,FIN,2012,3619913,1057137,564747,153588,8696,6936,99,200,2655
Finland,FIN,2013,3622092,1016464,610385,169092,11555,4413,340,1373,3258
Finland,FIN,2014,3663839,1025644,595244,161091,6922,4585,573,1372,2242
Finland,FIN,2015,3668726,1040988,591235,158570,8322,5499,2344,727,3120
Finland,FIN,2016,3749314,1014511,587036,123211,9578,7131,1926,905,1691
Finland,FIN,2017,3830350,992296,519320,146757,12044,2743,1081,168,3455
Finland,FIN,2018,3909363,947816,502615,140163,4616,4779,3042,754,2377
Finland,FIN,2019,3957386,911438,495351,141508,7046,3357,3376,50,2094
France,FRA,1978,17777628,10115889,14087025,10394203,955150,546075,274147,276539,265210
France,FRA,1984,18031223,10987334,13805151,10279949,1265297,705646,419259,286731,557085
France,FRA,1989,19995136,12461681,14185798,9428475,718936,429355,147241,146181,427396
France,FRA,1994,26253811,12014010,13350344,7118846,442231,0,147958,0,0
France,FRA,2000,27726658,12480189,13402474,6851267,302831,0,149081,0,0
France,FRA,2003,30698396,12985998,12852096,5118993,330665,133796,26989,83181,14766
France,FRA,2004,32084885,13085396,12336576,4836307,175623,116497,38436,18209,12972
France,FRA,2005,32215193,13897621,11781341,4829173,260920,161686,6220,8973,18229
France,FRA,2006,32124717,13665586,12001715,5403076,294577,97031,17096,7656,9922
France,FRA,2007,39796559,12005857,8667120,3342835,125019,47495,21824,1902,7616
France,FRA,2008,40522400,11292534,8925544,3419572,136149,65529,7012,1370,4869
France,FRA,2009,41772469,10765842,7994496,3778514,137107,181285,48625,20120,8577
France,FRA,2010,40717574,11603092,8690347,3615619,182896,127426,33720,33319,23512
France,FRA,2011,41360382,11776742,8341620,3452980,267226,101973,25018,16848,0
France,FRA,2012,41700253,11651725,8459783,3319415,324960,138624,25033,18610,21411
France,FRA,2013,41938026,11753625,8488266,3526214,158623,48926,45148,866,38991
France,FRA,2014,42796803,11380875,8374800,3528349,128579,75021,15254,7841,4545
France,FRA,2015,43823490,10878536,8137334,3313183,170167,85515,51168,60706,28173
France,FRA,2016,44277630,11135927,7687272,3338940,116374,85959,43218,8059,30725
France,FRA,2017,44894030,10639838,7943800,3249585,123458,46057,10620,9034,1598
France,FRA,2018,45163651,11024665,7399362,3286636,131845,47262,34305,2374,11830
Gabon,GAB,2005,18864,18234,57602,263716,266252,473537,216090,70301,5954
Gabon,GAB,2017,42074,64150,219732,664045,430080,476813,116945,46376,4597
Gambia,GMB,1998,267,437,2367,16220,24463,98290,178691,427943,489446
Gambia,GMB,2003,2441,2398,7303,49471,71033,251252,331125,514782,220120
Gambia,GMB,2010,5577,5267,16619,80635,136785,480602,532812,453303,81599
Gambia,GMB,2015,3541,6665,23903,119695,239284,761454,652187,261704,17427
Georgia,GEO,1996,27064,45093,148169,920275,1015829,1439433,591869,303967,0
Georgia,GEO,1997,8290,19353,57284,421671,628382,1445527,952298,630045,187063
Georgia,GEO,1998,8108,12142,50581,401161,627855,1473872,950103,527834,191951
Georgia,GEO,1999,7199,10220,43639,286104,501592,1350483,1052090,698837,207028
Georgia,GEO,2000,6812,8583,36684,271919,425332,1304744,1089398,698484,235175
Georgia,GEO,2001,7557,6208,26781,231529,388884,1250555,1179215,708171,215473
Georgia,GEO,2002,5478,13806,47906,412373,605408,1482551,906136,427622,77235
Georgia,GEO,2003,5562,7029,42294,430851,622167,1426426,905692,424376,87339
Georgia,GEO,2004,4566,8495,37018,464778,661970,1465252,799370,398222,87669
Georgia,GEO,2005,8763,10966,39382,441343,605126,1422782,871361,408055,94691
Georgia,GEO,2006,5282,9476,46433,414004,583620,1440887,892102,404436,84107
Georgia,GEO,2007,9126,10975,47633,364694,566726,1401885,911092,472458,75569
Georgia,GEO,2008,9164,18500,54742,456606,606573,1389968,833900,410123,68873
Georgia,GEO,2009,10473,12574,55331,439495,607248,1382130,844559,391363,71246
Georgia,GEO,2010,9659,18316,60640,424742,599675,1320483,809251,452383,91546
Georgia,GEO,2011,11762,16827,61992,466747,606075,1343309,746308,406891,96530
Georgia,GEO,2012,13303,19627,74891,533200,644551,1338141,707431,348618,49112
Georgia,GEO,2013,21914,24875,93838,644417,702101,1288221,641962,269803,30537
Georgia,GEO,2014,17068,22636,117719,679424,763874,1299501,591302,205246,22644
Georgia,GEO,2015,16887,30787,94215,714394,774260,1350649,562309,166964,14811
Georgia,GEO,2016,19767,25919,113094,693009,778054,1348952,565564,168608,14538
Georgia,GEO,2017,24486,36989,115264,738226,804952,1258346,517491,207976,24274
Georgia,GEO,2018,19840,26856,95058,752425,824219,1278373,522616,185637,21525
Georgia,GEO,2019,19480,20807,89833,741906,830763,1330254,506741,170614,9763
Georgia,GEO,2020,9334,17100,75883,598798,849066,1370401,577751,191811,23856
Germany,DEU,1991,45217806,16206333,14592351,3608391,229594,159421,0,0,0
Germany,DEU,1992,46560820,17747229,12509842,3253354,361667,0,191686,0,0
Germany,DEU,1993,47687991,17453147,12166674,3459616,191538,197397,0,0,0
Germany,DEU,1994,47059715,16871299,12238573,4457609,212273,445601,0,0,153278
Germany,DEU,1995,48810640,15924537,12261420,3868182,416900,198361,0,198011,0
Germany,DEU,1996,49565330,16394755,11864317,3484078,208025,195113,203213,0,0
Germany,DEU,1997,47993523,17444013,12297089,3686065,434615,0,179466,0,0
Germany,DEU,1998,50060403,16822965,11309087,3456152,196932,201656,0,0,0
Germany,DEU,1999,52136264,15598120,10475494,3282594,414793,0,192978,0,0
Germany,DEU,2000,53239281,15202536,10483943,2880971,199799,0,204978,0,0
Germany,DEU,2001,51485720,16666449,10307176,3482277,204075,204228,0,0,0
Germany,DEU,2002,52798783,16079922,9897903,3109667,400551,201669,0,0,0
Germany,DEU,2003,52616995,15683886,10111251,3511596,200114,221994,188340,0,0
Germany,DEU,2004,52818373,16085843,9700822,3501179,238015,0,172028,0,0
Germany,DEU,2005,51557332,15865556,10520344,4130223,191410,204557,0,0,0
Germany,DEU,2006,52112723,16265654,10102025,3503758,222810,169481,0,0,0
Germany,DEU,2007,53269283,15220672,9874480,3510904,190074,200959,0,0,0
Germany,DEU,2008,53170973,15599542,9852334,3094490,189807,0,202951,0,0
Germany,DEU,2009,53852383,14754982,9616171,3274392,201497,202882,0,0,0
Germany,DEU,2010,54179245,14340121,9791865,3057612,203803,0,204284,0,0
Germany,DEU,2011,53188509,14264697,9423191,2999876,198311,200399,0,0,0
Germany,DEU,2012,53099334,13857413,9251493,3817233,203860,196490,0,0,0
Germany,DEU,2013,53429662,13708312,9682671,3424916,215067,184977,0,0,0
Germany,DEU,2014,54259678,13362245,9117880,3637226,403097,0,202374,0,0
Germany,DEU,2015,56164253,12671608,8772435,3670017,211611,196687,0,0,0
Germany,DEU,2016,57441198,12555545,8236939,3708385,200733,205869,0,0,0
Germany,DEU,2017,59306645,11369742,8058272,3303552,226194,199549,0,193048,0
Germany,DEU,2018,60317562,11827925,7032420,3109721,411116,0,207038,0,0
Ghana,GHA,1987,136,0,0,75755,181156,1085577,3063557,6216324,2929516
Ghana,GHA,1988,139,0,0,106629,197117,1161028,3227689,6369558,2884887
Ghana,GHA,1991,0,755,7518,104572,182494,1188005,2812068,6817886,4094062
Ghana,GHA,1998,3423,1606,7906,243223,564114,2831934,4294477,7033457,3377019
Ghana,GHA,2005,25313,13580,114166,710070,1092883,4552389,6033209,6774191,2498847
Ghana,GHA,2012,50477,65673,246035,2059979,2652950,7424120,6804959,5420670,1271591
Ghana,GHA,2016,87207,65479,328939,2356528,3281942,8436149,6721332,5274831,1929540
Greece,GRC,1995,1958629,1584484,2636737,3038293,842845,264443,53186,78811,104725
Greece,GRC,2000,2512882,2053637,2646718,2836725,459445,191313,51804,0,53284
Greece,GRC,2003,3583925,2117240,2596264,2196661,231253,130272,18001,13335,41119
Greece,GRC,2004,3912143,2056250,2604356,1947230,229813,93632,41403,15019,55295
Greece,GRC,2005,3912782,2143501,2482333,2029692,230434,129862,21511,15144,22055
Greece,GRC,2006,3907621,2182233,2423082,2003513,256465,149005,37532,32510,28401
Greece,GRC,2007,4146503,2345583,2377923,1789435,197279,109088,27501,12254,42907
Greece,GRC,2008,4296277,2302851,2535518,1584355,185499,113445,21739,6775,31382
Greece,GRC,2009,4528675,2200026,2416172,1555358,210572,121573,5041,12103,57497
Greece,GRC,2010,3482972,2183498,2697527,2174982,293559,143018,37567,28112,80106
Greece,GRC,2011,2389926,1948225,2906374,2676359,604760,356840,97716,29198,95501
Greece,GRC,2012,1649248,1560223,2979583,3188088,870779,484488,151795,108205,52602
Greece,GRC,2013,1482839,1472940,2837585,3429762,837208,614620,185520,79443,25294
Greece,GRC,2014,1448885,1478828,2778161,3492889,854563,521958,152306,82429,82394
Greece,GRC,2015,1477687,1585542,2721512,3334560,859239,538558,155529,65209,83047
Greece,GRC,2016,1518531,1549842,2890870,3304026,824895,468195,107628,55974,56010
Greece,GRC,2017,1515608,1587115,2982794,3366119,730333,401176,77670,49925,43939
Greece,GRC,2018,1666744,1722754,2946048,3327568,677774,361781,15234,1749,13230
Greece,GRC,2019,1984272,1846265,2935948,3026666,508751,283729,62020,32477,41454
Guatemala,GTM,1986,31523,29995,82432,390495,477501,1424113,1640488,2150114,1878260
Guatemala,GTM,1989,111761,79959,207446,836432,830740,1868360,1613499,1736815,1520983
Guatemala,GTM,1998,257202,215438,568312,2151212,1743152,2866157,1698663,1137835,408244
Guatemala,GTM,2000,534799,246538,679847,2288263,2047395,3077041,1602360,821423,292095
Guatemala,GTM,2006,556140,377202,846954,2871795,2136598,3089977,1795297,1247765,291602
Guatemala,GTM,2014,306404,220631,727246,2911715,2660567,4521504,2500888,1245922,211439
Guinea,GIN,1991,65,0,0,0,0,202203,590395,1739775,4002498
Guinea,GIN,1994,14211,20495,55492,311976,456477,1496712,1837407,2239392,648957
Guinea,GIN,2002,5547,23964,31205,164923,296544,1296729,2200413,3288603,1278149
Guinea,GIN,2007,1694,4023,18690,204888,449051,1739968,2541879,3581828,976138
Guinea,GIN,2012,7840,6121,34040,279522,684719,3277382,3747957,2317628,296823
Guinea,GIN,2018,0,1138,14171,456547,1170393,4987448,4068927,1648792,66876
Guinea-Bissau,GNB,1993,3107,959,5140,34724,53922,220075,284831,352838,87825
Guinea-Bissau,GNB,2002,212,850,1832,11348,25657,178044,369561,538907,128043
Guinea-Bissau,GNB,2010,0,0,27148,26562,32631,149421,271491,609694,405656
Guinea-Bissau,GNB,2018,1564,2847,6700,75516,153242,570064,658388,394291,11692
Guyana,GUY,1992,7,0,2744,42469,65757,218866,198783,171473,48497
Guyana,GUY,1998,10028,9456,31143,128483,148293,238787,97911,50137,39540
Haiti,HTI,2001,32616,16521,64762,216933,280843,866482,1290984,2619676,3219993
Haiti,HTI,2012,14796,26732,57069,492211,864668,2847047,2955930,2372106,620363
High income countries,,1990,377655223,153620695,180650155,147264865,24292769,12346922,2937536,1723692,2363558
High income countries,,1991,386123262,158368097,181331484,143728252,22560262,12115490,2668258,1690925,2408252
High income countries,,1992,393022649,161017154,179381475,142923458,22844327,12325335,3106240,1789605,2555833
High income countries,,1993,394006467,161916275,181827871,145607373,22610677,12735968,3094216,1374637,3313615
High income countries,,1994,408242697,163260264,181874820,139047311,21375679,12177099,2972158,1111209,3424343
High income countries,,1995,421269165,164183551,183453967,132233901,20854130,10868633,2860797,1292518,3264973
High income countries,,1996,433898021,165457494,182101498,129256842,18860563,10528437,2131950,1812481,3192265
High income countries,,1997,445271718,168205673,182080902,123353212,18096027,9795061,2125499,1816907,3268196
High income countries,,1998,460759242,165851999,175767971,123155141,17859548,9325796,2703322,1631198,3571177
High income countries,,1999,477665869,166265951,174151898,116990229,15995461,9119910,2067901,1574836,3370647
High income countries,,2000,494890397,167354317,172765914,108935828,14886455,7806043,2803389,1523719,3189563
High income countries,,2001,510089200,169765317,167900896,104344377,13985279,7965929,2457248,820702,3918140
High income countries,,2002,520626030,170204425,166042698,102057380,14263338,7804621,2531129,943155,3908943
High income countries,,2003,528752339,170710220,165164735,100839985,13730854,7960207,2590479,1747510,3911539
High income countries,,2004,542312733,169921725,161908732,99051937,13546329,7914619,2656034,1655836,3848658
High income countries,,2005,552824100,170818867,161750610,96045079,13548795,7417130,2389284,1634079,3975957
High income countries,,2006,566020629,172754224,157516318,93950495,12838370,7887152,2487236,1512126,3685522
High income countries,,2007,595435559,167122706,148689899,90349256,12114107,5892952,2546201,1511966,3619961
High income countries,,2008,591464237,171607996,153784122,92013292,12194373,7156194,2903599,768088,4535768
High income countries,,2009,605818448,171505277,154848723,86833110,11311522,6446897,2366650,1633282,3768387
High income countries,,2010,613818216,173714262,157394123,81176103,11123995,7006108,2360618,787358,4580822
High income countries,,2011,610742388,175782814,159203428,83264839,12467552,7274247,2401837,1906423,4068158
High income countries,,2012,612410075,175338676,160432327,86733441,11970908,7800461,2750293,2321168,3849011
High income countries,,2013,617265235,177914145,158218848,86882969,12480828,7917548,2676833,2401138,4379723
High income countries,,2014,624619034,179050013,158171204,85128879,12816461,6864700,2896311,2395946,4894679
High income countries,,2015,642412324,175825583,155991995,79439252,11166978,8782072,1809138,2590099,5337480
High income countries,,2016,664239997,172420966,149332475,76431085,10469485,7492334,2576460,1713794,5177631
High income countries,,2017,676537748,171342349,145429262,75569901,10319265,6331705,2340063,2629051,5054100
High income countries,,2018,694183977,170753681,138835083,71799337,10061621,5861475,2634261,2465371,4217784
High income countries,,2019,713505385,165620617,135349891,66898388,8923372,5807847,2475205,2446572,4237922
Honduras,HND,1989,42170,33713,88630,373844,397416,990732,964260,1126645,797286
Honduras,HND,1990,37817,28367,76337,339929,382088,1003834,1005829,1161349,919752
Honduras,HND,1991,40652,32877,108438,416601,451423,1277297,1202228,1102930,466148
Honduras,HND,1992,61112,56029,119210,464217,537588,1382035,1210084,1073231,341171
Honduras,HND,1993,77234,72378,158661,615361,689665,1438258,1186855,850237,305767
